Timestamp                       Thread     Type        Activity             PID    TTL  
2026-02-14 01:40:59.686520-0500 0x3bafdc7  Default     0x0                  8960   0    DigitalBreak: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d081e0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2026-02-14 01:40:59.741812-0500 0x3bafddb  Activity    0x46888b0            8960   0    DigitalBreak: (CoreFoundation) Loading Preferences From User Session CFPrefsD
2026-02-14 01:40:59.742641-0500 0x3bafdde  Default     0x0                  8960   0    DigitalBreak: (libMobileGestalt.dylib) No persisted cache on this platform.
2026-02-14 01:40:59.743369-0500 0x3bafddc  Default     0x0                  8960   0    DigitalBreak: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2026-02-14 01:40:59.743403-0500 0x3bafddc  Default     0x0                  8960   0    DigitalBreak: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
2026-02-14 01:40:59.743420-0500 0x3bafddd  Default     0x0                  8960   0    DigitalBreak: (RunningBoardServices) [com.apple.runningboard:connection] Sending handshake request attempt #1 to server
2026-02-14 01:40:59.743444-0500 0x3bafddd  Default     0x0                  8960   0    DigitalBreak: (RunningBoardServices) [com.apple.runningboard:connection] Creating connection to com.apple.runningboard
2026-02-14 01:40:59.743455-0500 0x3bafddd  Default     0x0                  8960   0    DigitalBreak: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d04000] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
2026-02-14 01:40:59.743504-0500 0x3bafdd8  Default     0x0                  8960   0    DigitalBreak: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2026-02-14 01:40:59.743533-0500 0x3bafdd8  Default     0x0                  8960   0    DigitalBreak: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2026-02-14 01:40:59.743545-0500 0x3bafddc  Default     0x0                  8960   0    DigitalBreak: (libxpc.dylib) [com.apple.xpc:connection] [0x105507240] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-02-14 01:40:59.743580-0500 0x3bafdd8  Default     0x0                  8960   0    DigitalBreak: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created new background assertion <BKSProcessAssertion: 0x600002102b70>
2026-02-14 01:40:59.743939-0500 0x3bafde0  Activity    0x46888b1            8960   0    DigitalBreak: (RunningBoardServices) didChangeInheritances
2026-02-14 01:40:59.744096-0500 0x3bafddd  Default     0x0                  8960   0    DigitalBreak: (RunningBoardServices) [com.apple.runningboard:connection] Handshake succeeded
2026-02-14 01:40:59.748278-0500 0x3bafddd  Default     0x0                  8960   0    DigitalBreak: (RunningBoardServices) [com.apple.runningboard:connection] Identity resolved as app<com.lukesthl.digitalbreak((null))>
2026-02-14 01:40:59.748508-0500 0x3bafdd8  Default     0x0                  8960   0    DigitalBreak: (UIKitCore) [com.apple.UIKit:BackgroundTask] Incrementing reference count for background assertion <BKSProcessAssertion: 0x600002102b70>
2026-02-14 01:40:59.748607-0500 0x3bafdd8  Default     0x0                  8960   0    DigitalBreak: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created background task <_UIBackgroundTaskInfo: 0x600001724540>: taskID = 1, taskName = Launch Background Task for Coalescing, creationTime = 1120818 (elapsed = 0).
2026-02-14 01:40:59.748757-0500 0x3bafdd8  Default     0x0                  8960   0    DigitalBreak: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UIApplicationSceneKeyboardSettings on FBSSceneSettings
2026-02-14 01:40:59.748948-0500 0x3bafdc7  Default     0x0                  8960   0    DigitalBreak: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2026-02-14 01:40:59.749176-0500 0x0        Error       0x0                  8960   0    DigitalBreak: [com.apple.os_debug_log:] assertion failed: 24G84 22G86: libxpc.dylib + 72720 [E9DEC751-76D1-3E74-BA4F-581FBBCDBC16]: 0x7d
2026-02-14 01:40:59.749232-0500 0x3bafdc7  Default     0x0                  8960   0    DigitalBreak: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
2026-02-14 01:40:59.749402-0500 0x3bafdc7  Default     0x0                  8960   0    DigitalBreak: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.workspace-service
2026-02-14 01:40:59.749442-0500 0x3bafdc7  Default     0x0                  8960   0    DigitalBreak: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace registering source: com.apple.frontboard.systemappservices
2026-02-14 01:40:59.749623-0500 0x3bafdd8  Default     0x0                  8960   0    DigitalBreak: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneOcclusionSettings> on FBSSceneSettings
2026-02-14 01:40:59.749931-0500 0x3bafdd8  Default     0x0                  8960   0    DigitalBreak: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneInterfaceProtectionSceneSettings> on FBSSceneSettings
2026-02-14 01:40:59.750054-0500 0x3bafdd8  Default     0x0                  8960   0    DigitalBreak: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UIHomeAffordanceHostSceneSettings> on FBSSceneSettings
2026-02-14 01:40:59.750060-0500 0x3bafdc7  Default     0x0                  8960   0    DigitalBreak: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace connected to endpoint : <BSServiceConnectionEndpoint: 0x600001724200; target: com.apple.frontboard.systemappservices; service: com.apple.frontboard.workspace-service>
